601111 中国国航 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011-10-10,7.57,7.67,7.52,7.53,5700027,45360376.00
2011-10-11,7.74,7.79,7.46,7.56,8821400,70759520.00
2011-10-12,7.57,7.94,7.52,7.88,19980085,163424192.00
2011-10-13,7.87,7.94,7.82,7.90,11488665,94766528.00
2011-10-14,7.88,7.90,7.75,7.81,6537326,53574432.00
2011-10-17,7.84,7.87,7.62,7.68,15975470,129332560.00
2011-10-18,7.65,7.67,7.42,7.44,11153692,88245392.00
2011-10-19,7.50,7.54,7.42,7.44,6808547,53345680.00
2011-10-20,7.42,7.44,7.14,7.19,9177212,69792992.00
2011-10-21,7.22,7.25,7.14,7.16,5396714,40878088.00
2011-10-24,7.22,7.39,7.12,7.36,8340857,63842640.00
2011-10-25,7.32,7.49,7.25,7.47,13055779,101710000.00
2011-10-26,7.42,7.64,7.39,7.54,16531081,130762448.00
2011-10-27,7.60,7.74,7.50,7.59,18163019,144964656.00
2011-10-28,7.69,7.77,7.63,7.67,21509511,173757760.00
2011-10-31,7.68,7.70,7.51,7.60,13977294,111329264.00
2011-11-01,7.60,7.66,7.50,7.56,16605802,132355696.00
2011-11-02,7.43,7.65,7.40,7.62,14944834,118153144.00
2011-11-03,7.66,7.99,7.66,7.88,37789797,309808288.00
2011-11-04,7.87,7.95,7.82,7.87,20621278,170220864.00
2011-11-07,7.84,7.87,7.75,7.77,9299800,76067624.00
2011-11-08,7.82,7.84,7.70,7.80,10414582,84885376.00
2011-11-09,7.86,7.89,7.71,7.82,13917829,113885768.00
2011-11-10,7.75,7.75,7.62,7.62,10307582,82976432.00
2011-11-11,7.67,7.68,7.54,7.56,5822536,46522320.00
2011-11-14,7.63,7.76,7.60,7.73,7340615,59246692.00
2011-11-15,7.75,7.82,7.72,7.79,9654955,78749504.00
2011-11-16,7.79,7.82,7.57,7.59,9906431,79658632.00
2011-11-17,7.62,7.64,7.52,7.56,6663499,53019960.00
2011-11-18,7.52,7.59,7.37,7.38,7872264,61579772.00
2011-11-21,7.42,7.44,7.23,7.28,7234684,55434580.00
2011-11-22,7.25,7.30,6.76,6.86,45707073,334182048.00
2011-11-23,6.88,6.89,6.75,6.81,13463302,96641120.00
2011-11-24,6.76,6.85,6.67,6.80,9936782,70942032.00
2011-11-28,6.72,6.80,6.68,6.72,8059652,57351416.00
2011-11-29,6.81,6.84,6.70,6.82,11172102,80056264.00
2011-11-30,6.78,6.81,6.40,6.46,15582319,108300096.00
2011-12-01,6.72,6.73,6.54,6.58,18214832,127778272.00
2011-12-02,6.59,6.59,6.35,6.42,10223235,69510736.00
2011-12-05,6.45,6.45,6.12,6.20,13356038,88743552.00
2011-12-06,6.17,6.21,6.05,6.09,12184634,79051528.00
2011-12-07,6.10,6.12,6.01,6.07,8821747,56910056.00
2011-12-08,6.07,6.16,5.99,6.13,10997418,71059440.00
2011-12-09,6.07,6.20,6.06,6.15,9190980,59860664.00
2011-12-12,6.12,6.19,6.07,6.08,5152124,33541040.00
2011-12-13,6.07,6.08,5.87,5.88,9126633,57681008.00
2011-12-14,5.88,5.91,5.71,5.74,7100069,43955980.00
2011-12-15,5.72,5.73,5.44,5.46,11493174,68614128.00
2011-12-16,5.47,5.81,5.37,5.73,17197882,101627704.00
2011-12-19,5.64,5.74,5.42,5.63,11431802,67871576.00
2011-12-20,5.62,5.74,5.55,5.57,11957225,71835336.00
2011-12-21,5.62,5.72,5.58,5.71,24730266,149484336.00
2011-12-22,5.66,5.85,5.52,5.84,31742048,193240288.00
2011-12-23,5.82,6.00,5.77,5.95,23085646,145052096.00
2011-12-26,5.92,5.98,5.84,5.96,8853095,55573008.00
