Date,Open,High,Low,Close,Volume,Adj Close
2016-11-24,50.20,50.49,49.40,49.41,1378200,49.41
2016-11-23,51.47,52.00,50.19,50.20,2083100,50.20
2016-11-22,49.91,51.60,49.91,51.46,3080300,51.46
2016-11-21,49.29,50.80,49.01,50.19,1805500,50.19
2016-11-18,49.20,50.09,49.18,49.51,1040400,49.51
2016-11-17,49.39,50.00,48.51,49.50,1409900,49.50
2016-11-16,49.30,50.10,49.18,49.46,1755800,49.46
2016-11-15,48.94,49.35,48.51,49.11,1135700,49.11
2016-11-14,48.70,49.45,48.70,48.95,1438200,48.95
2016-11-11,48.33,48.95,48.28,48.35,1074700,48.35
2016-11-10,48.39,48.40,47.55,48.32,831700,48.32
2016-11-09,47.72,48.09,47.00,47.42,785100,47.42
2016-11-08,48.07,48.07,47.71,47.87,699000,47.87
2016-11-07,48.05,48.26,47.70,47.80,522200,47.80
2016-11-04,47.51,48.49,47.51,48.02,1155400,48.02
2016-11-03,47.95,48.54,47.40,47.80,813900,47.80
2016-11-02,48.00,48.18,47.80,48.03,618900,48.03
2016-11-01,47.60,48.17,47.42,48.09,961300,48.09
2016-10-31,47.54,47.84,46.50,47.79,804000,47.79
2016-10-28,48.70,48.96,47.43,47.50,852000,47.50
2016-10-27,48.92,49.34,48.56,48.69,426600,48.69
2016-10-26,48.82,49.36,48.67,49.25,753300,49.25
2016-10-25,49.09,49.09,48.50,48.77,470100,48.77
2016-10-24,48.15,48.85,48.01,48.56,513200,48.56
2016-10-21,48.94,49.25,47.96,48.10,788400,48.10
2016-10-20,48.88,49.18,48.66,48.84,446400,48.84
2016-10-19,49.66,49.66,48.80,48.88,498400,48.88
2016-10-18,48.86,49.49,48.55,49.45,539900,49.45
2016-10-17,48.88,49.70,48.55,48.80,719600,48.80
2016-10-14,49.93,49.93,48.70,49.01,623800,49.01
2016-10-13,49.97,49.99,49.60,49.80,553700,49.80
2016-10-12,49.82,50.10,49.35,49.51,598800,49.51
2016-10-11,49.42,50.20,49.42,49.82,687800,49.82
2016-10-10,49.17,50.21,48.49,49.89,1608100,49.89
2016-10-07,48.55,48.55,48.55,48.55,000,48.55
2016-10-06,48.55,48.55,48.55,48.55,000,48.55
2016-10-05,48.55,48.55,48.55,48.55,000,48.55
2016-10-04,48.55,48.55,48.55,48.55,000,48.55
2016-10-03,48.55,48.55,48.55,48.55,000,48.55
2016-09-30,48.10,48.90,48.10,48.55,453500,48.55
2016-09-29,47.93,48.79,47.93,48.33,327500,48.33
2016-09-28,47.80,48.50,47.80,48.23,357200,48.23
2016-09-27,47.69,48.38,47.15,48.25,332900,48.25
2016-09-26,47.68,48.40,47.61,47.69,435900,47.69
2016-09-23,48.50,48.62,47.67,48.10,415800,48.10
2016-09-22,47.90,48.68,47.90,48.10,284200,48.10
2016-09-21,47.35,48.35,47.35,47.85,320800,47.85
2016-09-20,47.60,47.77,47.30,47.53,321700,47.53
2016-09-19,47.31,47.78,47.15,47.63,274100,47.63
2016-09-16,47.32,47.32,47.32,47.32,000,47.32
2016-09-15,47.32,47.32,47.32,47.32,000,47.32
2016-09-14,46.99,47.80,46.60,47.32,454600,47.32
2016-09-13,47.11,47.70,46.75,47.09,502900,47.09
2016-09-12,48.70,49.47,46.89,46.89,1116100,46.89
2016-09-09,49.60,50.22,49.60,49.82,899500,49.82
2016-09-08,50.30,50.43,49.57,49.95,753500,49.95
2016-09-07,49.70,50.79,49.50,50.25,1658500,50.25
2016-09-06,49.97,50.30,49.13,49.95,1447700,49.95
2016-09-05,48.30,50.43,47.73,50.30,2262400,50.30
2016-09-02,48.15,48.16,47.30,47.58,531500,47.58
2016-09-01,48.85,49.30,48.08,48.17,380100,48.17
2016-08-31,49.37,49.71,48.01,48.72,622600,48.72
2016-08-30,49.00,49.86,48.60,49.41,712600,49.41
2016-08-29,48.19,49.63,48.01,48.90,906700,48.90
2016-08-26,47.70,48.96,47.69,48.29,860500,48.29
2016-08-25,47.99,48.22,43.53,47.57,742400,47.57
2016-08-24,47.98,49.06,47.66,48.30,979400,48.30
2016-08-23,48.29,48.45,47.37,47.91,485000,47.91
2016-08-22,48.20,48.63,47.55,47.85,547200,47.85
2016-08-19,48.45,48.59,47.90,48.34,672200,48.34
2016-08-18,48.97,49.53,48.29,48.45,1073800,48.45
2016-08-17,49.20,50.19,49.20,49.43,1127400,49.43
2016-08-16,48.35,49.30,48.02,48.59,694100,48.59
2016-08-15,48.39,48.78,47.13,48.35,869700,48.35
2016-08-12,47.60,48.20,47.11,47.65,659100,47.65
2016-08-11,47.38,48.50,47.09,47.60,895000,47.60
2016-08-10,47.77,48.30,47.03,47.36,958200,47.36
2016-08-09,45.68,48.00,45.47,47.38,1402200,47.38
2016-08-08,44.30,45.80,43.94,45.64,732100,45.64
2016-08-05,45.22,45.71,44.78,44.78,679800,44.78
2016-08-04,45.58,45.58,44.88,45.22,677800,45.22
2016-08-03,44.56,45.39,44.35,45.12,618500,45.12
2016-08-02,44.34,44.82,44.00,44.60,696700,44.60
2016-08-01,44.97,45.95,43.70,43.94,1129800,43.94
2016-07-29,46.38,46.40,45.05,45.70,822000,45.70
2016-07-28,47.50,47.50,44.71,46.32,1651500,46.32
2016-07-27,50.25,50.30,47.20,47.44,1678800,47.44
2016-07-26,49.50,50.17,49.05,49.98,584500,49.98
2016-07-25,49.89,50.17,48.50,49.00,810200,49.00
2016-07-22,51.76,51.80,49.70,49.87,1368100,49.87
2016-07-21,51.41,52.00,51.00,51.82,1211200,51.82
2016-07-20,51.90,52.10,51.55,51.59,780700,51.59
2016-07-19,51.49,52.00,50.89,51.85,941400,51.85
2016-07-18,51.50,51.98,51.09,51.20,947400,51.20
2016-07-15,52.28,52.79,51.30,51.36,1105900,51.36
2016-07-14,51.96,52.44,51.40,52.40,1121400,52.40
2016-07-13,52.60,53.80,51.92,52.45,1850900,52.45
2016-07-12,50.21,51.86,50.10,51.80,1483400,51.80
2016-07-11,51.30,52.17,50.01,50.10,1449500,50.10
2016-07-08,52.03,52.41,51.06,51.58,1508200,51.58
2016-07-07,51.70,54.00,51.61,52.53,2864200,52.53
2016-07-06,51.42,51.99,51.20,51.70,1410900,51.70
2016-07-05,52.44,52.44,51.07,51.62,2276700,51.62
2016-07-04,51.00,52.66,50.86,52.45,3171100,52.45
2016-07-01,49.00,52.21,49.00,51.84,4359800,51.84
2016-06-30,49.43,50.08,48.15,48.72,2063700,48.72
2016-06-29,50.75,51.16,49.70,50.02,1904800,50.02
2016-06-28,48.38,50.83,47.88,50.75,3115300,50.75
2016-06-27,46.95,48.72,46.15,48.65,1792200,48.65
2016-06-24,48.70,49.00,44.50,47.48,1468500,47.48
2016-06-23,48.74,48.78,47.83,48.78,1302200,48.78
2016-06-22,48.30,49.05,47.20,49.05,2055300,49.05
2016-06-21,49.95,50.34,48.30,48.40,1188600,48.40
2016-06-20,49.33,49.90,47.81,49.90,1507900,49.90
2016-06-17,48.31,50.36,48.31,49.23,1415200,49.23
2016-06-16,49.52,49.52,47.98,48.20,1453300,48.20
2016-06-15,48.16,51.18,47.88,49.60,1966600,49.60
2016-06-14,48.50,49.49,46.90,48.50,1522800,48.50
2016-06-13,51.51,53.00,49.00,49.01,1859900,49.01
2016-06-10,53.60,53.60,53.60,53.60,000,53.60
2016-06-09,53.60,53.60,53.60,53.60,000,53.60
2016-06-08,54.30,54.65,52.11,53.60,1782700,53.60
2016-06-07,52.22,54.94,51.00,54.92,2858700,54.92
2016-06-06,53.20,53.78,50.74,52.10,3087200,52.10
2016-06-03,55.62,57.43,53.88,53.98,2862000,53.98
2016-06-02,54.10,55.00,53.00,55.00,2472900,27.40
2016-06-01,53.44,55.64,52.70,54.09,2667200,26.947
2016-05-31,100.00,109.00,99.69,107.90,2875800,53.754
2016-05-30,96.88,102.00,95.31,99.69,2043100,49.664
2016-05-27,96.96,100.45,96.01,96.96,1360400,48.304
2016-05-26,95.29,98.60,91.01,98.38,2412700,49.011
2016-05-25,98.69,103.30,95.88,96.25,2175000,47.95
2016-05-24,99.89,100.49,96.00,98.70,2352400,49.171
2016-05-23,91.22,100.31,91.20,100.31,2671000,49.973
2016-05-20,89.29,91.57,87.62,91.19,1134000,45.429
2016-05-19,86.91,92.51,86.50,89.49,1189200,44.582
2016-05-18,88.67,89.60,85.13,86.89,1590300,43.287
2016-05-17,89.98,93.50,89.98,90.50,1800800,45.085
2016-05-16,84.01,88.22,83.15,88.22,1022000,43.95
2016-05-13,83.88,87.45,83.80,83.99,995700,41.842
2016-05-12,87.00,87.00,83.20,84.70,744900,42.196
2016-05-11,90.49,90.98,87.48,87.52,652200,43.601
2016-05-10,89.05,90.50,89.01,89.28,576900,44.478
2016-05-09,90.05,93.00,89.00,89.05,1108400,44.363
2016-05-06,99.11,100.58,93.50,93.50,1725700,46.58
2016-05-05,98.60,101.70,98.36,99.13,1311900,49.385
2016-05-04,95.44,100.90,95.01,99.40,1891100,49.519
2016-05-03,92.50,96.63,90.80,96.10,1444000,47.875
2016-05-02,92.41,92.41,92.41,92.41,000,46.037
2016-04-29,93.50,94.75,92.06,92.41,751100,46.037
2016-04-28,94.80,95.40,89.01,93.92,915600,46.789
2016-04-27,93.88,97.04,93.46,94.06,1236400,46.859
2016-04-26,94.00,96.80,92.45,93.89,1482200,46.774
2016-04-25,87.90,95.14,86.15,95.02,2645500,47.337
2016-04-22,90.80,90.80,87.43,89.03,3335700,44.353
2016-04-21,100.50,103.35,95.00,95.12,2948300,47.387
2016-04-20,99.99,105.88,95.10,103.10,4999100,51.363
2016-04-19,97.88,100.87,97.26,99.10,1740200,49.37
2016-04-18,96.37,97.80,93.11,97.00,1562900,48.324
2016-04-15,99.90,100.60,96.26,98.28,1504200,48.961
2016-04-14,99.40,101.50,98.00,99.20,2151700,49.42
